d1_raw,d1_full,d1_seconds,w1_minutes
4:01,4:01,241,80
2:09,2:09,129,71
L,4:00,240,57
L,4:00,240,80
L,4:00,240,75
S,2:00,120,77
4:23,4:23,263,60
4:17,4:17,257,86
2:02,2:02,122,77
4:50,4:50,290,56
1:50,1:50,110,81
5:27,5:27,327,50
1:37,1:37,97,89
4:52,4:52,292,54
4:23,4:23,263,90
1:46,1:46,106,73
4:40,4:40,280,60
S,2:00,120,83
4:44,4:44,284,65
4:13,4:13,253,82
1:54,1:54,114,84
4:58,4:58,298,54
S,2:00,120,85
L,4:00,240,58
S,2:00,120,79
L,4:00,240,57
2:50,2:50,170,88
4:30,4:30,270,68
4:04,4:04,244,76
3:43,3:43,223,78
3:31,3:31,211,74
4:28,4:28,268,85
2:13,2:13,133,75
4:53,4:53,293,65
2:36,2:36,156,76
4:09,4:09,249,58
2:12,2:12,132,91
4:46,4:46,286,50
1:50,1:50,110,87
4:36,4:36,276,48
2:16,2:16,136,93
4:08,4:08,248,54
S,2:00,120,86
L,4:00,240,53
S,2:00,120,78
L,4:00,240,52
1:53,1:53,113,83
4:16,4:16,256,60
2:05,2:05,125,87
4:28,4:28,268,49
2:13,2:13,133,80
4:00,4:00,240,60
1:46,1:46,106,92
4:20,4:20,260,43
2:11,2:11,131,89
4:29,4:29,269,60
3:53,3:53,233,84
3:20,3:20,200,69
3:44,3:44,224,74
4:00,4:00,240,71
1:57,1:57,117,108
5:16,5:16,316,50
S,2:00,120,77
L,4:00,240,57
S,2:00,120,80
L,4:00,240,61
S,2:00,120,82
L,4:00,240,48
3:32,3:32,212,81
2:10,2:10,130,73
4:30,4:30,270,62
2:01,2:01,121,79
4:09,4:09,249,54
4:12,4:12,252,80
4:20,4:20,260,73
1:56,1:56,116,81
4:39,4:39,279,62
3:49,3:49,229,81
4:02,4:02,242,71
4:10,4:10,250,79
4:40,4:40,280,81
1:49,1:49,109,74
L,4:00,240,59
M,3:00,180,81
L,4:00,240,66
S,2:00,120,87
4:27,4:27,267,53
2:03,2:03,123,80
4:15,4:15,255,50
1:55,1:55,115,87
4:40,4:40,280,51
1:44,1:44,104,82
4:23,4:23,263,58
1:46,1:46,106,81
4:36,4:36,276,49
1:52,1:52,112,92
4:27,4:27,267,50
1:38,1:38,98,88
5:05,5:05,305,62
1:49,1:49,109,93
5:06,5:06,306,56
1:38,1:38,98,89
4:17,4:17,257,51
S,2:00,120,79
L,4:00,240,58
S,2:00,120,82
4:32,4:32,272,52
2:00,2:00,120,88
L,4:00,240,52
2:56,2:56,176,78
4:44,4:44,284,69
3:54,3:54,234,75
1:57,1:57,117,77
4:07,4:07,247,53
1:48,1:48,108,80
4:40,4:40,280,55
1:50,1:50,110,87
4:42,4:42,282,53
2:07,2:07,127,85
4:47,4:47,287,61
1:49,1:49,109,93
4:06,4:06,246,54
4:39,4:39,279,76
L,4:00,240,80
S,2:00,120,81
L,4:00,240,59
L,4:00,240,86
4:13,4:13,253,78
4:08,4:08,248,71
3:56,3:56,236,77
3:45,3:45,225,76
4:25,4:25,265,94
2:28,2:28,148,75
4:10,4:10,250,50
3:48,3:48,228,83
4:19,4:19,259,82
3:52,3:52,232,72
4:41,4:41,281,77
1:42,1:42,102,75
4:58,4:58,298,65
4:16,4:16,256,79
4:35,4:35,275,72
L,4:00,240,78
L,4:00,240,77
L,4:00,240,79
L,4:00,240,75
1:59,1:59,119,78
4:36,4:36,276,64
0:50,0:50,50,80
4:55,4:55,295,49
1:44,1:44,104,88
4:35,4:35,275,54
1:42,1:42,102,85
4:45,4:45,285,51
1:50,1:50,110,96
4:40,4:40,280,50
1:52,1:52,112,80
4:27,4:27,267,78
4:27,4:27,267,81
4:00,4:00,240,72
4:48,4:48,288,75
L,4:00,240,78
L,4:00,240,87
S,2:00,120,69
L,4:00,240,55
1:56,1:56,116,83
4:35,4:35,275,49
2:00,2:00,120,82
3:42,3:42,222,57
2:52,2:52,172,84
4:50,4:50,290,57
3:27,3:27,207,84
4:23,4:23,263,73
1:48,1:48,108,78
4:24,4:24,264,57
2:29,2:29,149,79
4:31,4:31,271,57
2:06,2:06,126,90
4:21,4:21,261,62
4:22,4:22,262,87
1:47,1:47,107,78
4:55,4:55,295,52
1:49,1:49,109,98
L,4:00,240,48
L,4:00,240,78
L,4:00,240,79
3:52,3:52,232,65
1:51,1:51,111,84
4:42,4:42,282,50
2:01,2:01,121,83
4:28,4:28,268,60
1:52,1:52,112,80
4:10,4:10,250,50
1:54,1:54,114,88
4:15,4:15,255,50
3:15,3:15,195,84
4:13,4:13,253,74
1:53,1:53,113,76
4:59,4:59,299,65
1:51,1:51,111,89
4:00,4:00,240,49
1:58,1:58,118,88
4:46,4:46,286,51
L,4:00,240,78
S,2:00,120,85
L,4:00,240,65
L,4:00,240,75
2:23,2:23,143,77
4:25,4:25,265,69
4:13,4:13,253,92
4:22,4:22,262,68
2:00,2:00,120,87
4:27,4:27,267,61
1:45,1:45,105,81
4:30,4:30,270,55
1:37,1:37,97,93
4:42,4:42,282,53
2:34,2:34,154,84
3:42,3:42,222,70
4:14,4:14,254,73
1:56,1:56,116,93
4:21,4:21,261,50
L,4:00,240,87
L,4:00,240,77
L,4:00,240,74
4:13,4:13,253,72
4:00,4:00,240,82
4:08,4:08,248,74
1:53,1:53,113,80
4:28,4:28,268,49
1:57,1:57,117,91
4:13,4:13,253,53
1:43,1:43,103,86
4:27,4:27,267,49
4:15,4:15,255,79
3:58,3:58,238,89
4:23,4:23,263,87
1:58,1:58,118,76
4:27,4:27,267,59
4:16,4:16,256,80
1:55,1:55,115,89
4:25,4:25,265,45
M,3:00,180,93
L,4:00,240,72
S,2:00,120,71
L,4:00,240,54
3:17,3:17,197,79
1:50,1:50,110,74
4:37,4:37,277,65
1:50,1:50,110,78
4:37,4:37,277,57
4:36,4:36,276,87
4:15,4:15,255,72
1:56,1:56,116,84
4:59,4:59,299,47
1:58,1:58,118,84
4:18,4:18,258,57
4:12,4:12,252,87
4:32,4:32,272,68
4:24,4:24,264,86
4:37,4:37,277,75
S,2:00,120,73
L,4:00,240,53
L,4:00,240,82
3:55,3:55,235,93
S,2:00,120,77
4:30,4:30,270,54
1:48,1:48,108,96
4:00,4:00,240,48
2:45,2:45,165,89
4:44,4:44,284,63
3:58,3:58,238,84
1:57,1:57,117,76
4:58,4:58,298,62
1:51,1:51,111,83
4:48,4:48,288,50
L,4:00,240,85
L,4:00,240,78
L,4:00,240,78
L,4:00,240,81
L,4:00,240,78
L,4:00,240,76
L,4:00,240,74
S,2:00,120,81
L,4:00,240,66
1:56,1:56,116,84
4:20,4:20,260,48
1:40,1:40,100,93
4:46,4:46,286,47
1:57,1:57,117,87
4:41,4:41,281,51
1:56,1:56,116,78
4:25,4:25,265,54
2:08,2:08,128,87
4:05,4:05,245,52
2:04,2:04,124,85
L,4:00,240,58
L,4:00,240,88
S,2:00,120,79